user,comment
Ali,OMG!! I looove this movie 😍😍 #bestmovieever https://t.co/xyz
Sara,Ugh this was soooo boring :( I wasted 2hrs 😒
Hamza,Breaking news! Politics these days are insane! 😂
Ayesha,I'm sooo happy rn!! That concert was lit 🔥🔥🔥
Umar,Check this out: https://bit.ly/123 Amazing performance 👍👍
Bilal,Can't believe how good this song is omg!!! ❤️❤️
Hina,"The food was horrible, never ordering again 🤢🤢"
Tariq,"Just finished my exams rn, finally free!!! 🥳"
Fatima,Best day ever with my friends 💃💃💃
Usman,Weather is sooooo unpredictable these days 😩
Nida,I laughed so hard watching that meme 😂😂😂
Zain,Service was okayish... could be better tho 😕
Maryam,That was lit af 🔥🔥🔥 can't wait for next time!
Waleed,"Umm not impressed at all, super slow delivery 😤"
Aqsa,OMG this coffee shop is aesthetic af ☕💖
