user,comment,cleaned,tokens,stemmed,lemmatized
Ali,OMG!! I looove this movie 😍😍 #bestmovieever https://t.co/xyz,oh my god looove movie :smiling_face_with_heart-eyes::smiling_face_with_heart-eyes: bestmovieever,"['oh', 'my', 'god', 'looove', 'movie', ':', 'smiling_face_with_heart-eyes', ':', ':smiling_face_with_heart-eyes', ':', 'bestmovieever']","['oh', 'my', 'god', 'looov', 'movi', ':', 'smiling_face_with_heart-ey', ':', ':smiling_face_with_heart-ey', ':', 'bestmovieev']","['oh', 'my', 'god', 'looove', 'movie', ':', 'smiling_face_with_heart-eyes', ':', ':smiling_face_with_heart-eyes', ':', 'bestmovieever']"
Sara,Ugh this was soooo boring :( I wasted 2hrs 😒,Ugh soooo boring wasted hrs :unamused_face:,"['Ugh', 'soooo', 'boring', 'wasted', 'hrs', ':', 'unamused_face', ':']","['ugh', 'soooo', 'bore', 'wast', 'hr', ':', 'unamused_fac', ':']","['Ugh', 'soooo', 'boring', 'wasted', 'hr', ':', 'unamused_face', ':']"
Hamza,Breaking news! Politics these days are insane! 😂,Breaking news Politics days insane :face_with_tears_of_joy:,"['Breaking', 'news', 'Politics', 'days', 'insane', ':', 'face_with_tears_of_joy', ':']","['break', 'news', 'polit', 'day', 'insan', ':', 'face_with_tears_of_joy', ':']","['Breaking', 'news', 'Politics', 'day', 'insane', ':', 'face_with_tears_of_joy', ':']"
Ayesha,I'm sooo happy rn!! That concert was lit 🔥🔥🔥,Im sooo happy rn concert lit :fire::fire::fire:,"['Im', 'sooo', 'happy', 'rn', 'concert', 'lit', ':', 'fire', ':', ':fire', ':', ':fire', ':']","['im', 'sooo', 'happi', 'rn', 'concert', 'lit', ':', 'fire', ':', ':fire', ':', ':fire', ':']","['Im', 'sooo', 'happy', 'rn', 'concert', 'lit', ':', 'fire', ':', ':fire', ':', ':fire', ':']"
Umar,Check this out: https://bit.ly/123 Amazing performance 👍👍,Check Amazing performance :thumbs_up::thumbs_up:,"['Check', 'Amazing', 'performance', ':', 'thumbs_up', ':', ':thumbs_up', ':']","['check', 'amaz', 'perform', ':', 'thumbs_up', ':', ':thumbs_up', ':']","['Check', 'Amazing', 'performance', ':', 'thumbs_up', ':', ':thumbs_up', ':']"
Bilal,Can't believe how good this song is omg!!! ❤️❤️,Cant believe good song oh my god :red_heart::red_heart:,"['Cant', 'believe', 'good', 'song', 'oh', 'my', 'god', ':', 'red_heart', ':', ':red_heart', ':']","['cant', 'believ', 'good', 'song', 'oh', 'my', 'god', ':', 'red_heart', ':', ':red_heart', ':']","['Cant', 'believe', 'good', 'song', 'oh', 'my', 'god', ':', 'red_heart', ':', ':red_heart', ':']"
Hina,"The food was horrible, never ordering again 🤢🤢",food horrible never ordering :nauseated_face::nauseated_face:,"['food', 'horrible', 'never', 'ordering', ':', 'nauseated_face', ':', ':nauseated_face', ':']","['food', 'horribl', 'never', 'order', ':', 'nauseated_fac', ':', ':nauseated_fac', ':']","['food', 'horrible', 'never', 'ordering', ':', 'nauseated_face', ':', ':nauseated_face', ':']"
Tariq,"Just finished my exams rn, finally free!!! 🥳",finished exams rn finally free :partying_face:,"['finished', 'exams', 'rn', 'finally', 'free', ':', 'partying_face', ':']","['finish', 'exam', 'rn', 'final', 'free', ':', 'partying_fac', ':']","['finished', 'exam', 'rn', 'finally', 'free', ':', 'partying_face', ':']"
Fatima,Best day ever with my friends 💃💃💃,Best day ever friends :woman_dancing::woman_dancing::woman_dancing:,"['Best', 'day', 'ever', 'friends', ':', 'woman_dancing', ':', ':woman_dancing', ':', ':woman_dancing', ':']","['best', 'day', 'ever', 'friend', ':', 'woman_danc', ':', ':woman_danc', ':', ':woman_danc', ':']","['Best', 'day', 'ever', 'friend', ':', 'woman_dancing', ':', ':woman_dancing', ':', ':woman_dancing', ':']"
Usman,Weather is sooooo unpredictable these days 😩,Weather sooooo unpredictable days :weary_face:,"['Weather', 'sooooo', 'unpredictable', 'days', ':', 'weary_face', ':']","['weather', 'sooooo', 'unpredict', 'day', ':', 'weary_fac', ':']","['Weather', 'sooooo', 'unpredictable', 'day', ':', 'weary_face', ':']"
